Id_peli;Titulo;Popularidad;Rating;Fecha;Duracion;Pais;Idioma;Presupuesto;Ganancia;Generos;Director;Casting;Guion;Montaje;DOP;Resumen
15;Citizen Kane;26.015;8.027;1941;119;United States of America;English;839727;23218000;['Mystery', 'Drama'];['Orson Welles'];"['Orson Welles', 'Joseph Cotten', 'Dorothy Comingore', 'Ray Collins', 'George Coulouris', 'Agnes Moorehead', 'Paul Stewart', 'Ruth Warrick', 'Erskine Sanford', 'William Alland', 'Everett Sloane', 'Fortunio Bonanova', 'Gus Schilling', 'Philip Van Zandt', 'Georgia Backus', 'Harry Shannon', 'Sonny Bupp', 'Buddy Swan', 'Gregg Toland', 'Don Ackerman', 'Nat King Cole', 'Gino Corrado', 'Maurice Costello', 'Demetrius Alexis', 'Gene Coogan', 'Art Dupuis', 'Rudy Germane', 'Mike Lally', 'Walter Lawrence', 'John Northpole', 'Victor Romito', 'Bob Terry', 'William Alston', 'Jack Gargan', 'Bert Moorhouse', 'Carmen Laroux', 'Sam Ash', 'Buddy Messinger', 'Terrance Ray', 'Sally Corner', 'Walter Bacon', 'Herbert Corthell', 'Harry A. Bailey', 'Danny Borzage', 'J.J. Clark', 'Tom Coleman', 'Carl Deloro', 'Jack Egan', 'Robert Haines', 'Ludwig Lowry', 'John McCormack', 'Hercules Mendez', ""Paddy O'Flynn"", 'Sam Rice', 'Don Roberts', 'Larry Wheat', 'Larry Williams', 'Joan Blair', 'Morgan Brown', 'Harry Burkhardt', 'Edmund Cobb', 'Eddie Coke', 'Louis Natheaux', ""Arthur O'Connell"", 'Guy Repp', 'Tom Steele', 'Richard Wilson', 'Louise Currie', 'Walter Sande', 'Jan Wiley', 'Milton Kibbee', 'Buck Mack', 'Alan Ladd', 'Thomas A. Curran', 'Jack Curtis', 'George Noisom', 'Gerald Pierce', 'Donna Dax', 'George DeNormand', 'Bud Geary', 'Bert LeBaron', 'Clyde McAtee', 'Cyril Ring', 'Roland Winters', 'Lew Harvey', 'Herman J. Mankiewicz', 'Eddie Dew', 'Perc Launders', 'John Dilson', 'Walter James', 'Robert Dudley', 'Suzanne Dulier', 'Al Eben', 'Johnny Eckert', 'Carl Ekberg', 'Edith Evanson', 'Carl Faulkner', 'Juanita Fields', 'Edna Mae Jones', 'Leda Nicova', 'Jolane Reynolds', 'Suzanne Ridgway', 'Olin Francis', 'Louise Franklin', 'Renee Godfrey', 'Peter Gowland', 'Jimmy Grant', 'Jesse Graves', 'Ernest Grooney', 'Jack Gwynne', 'Teddy Mangean', 'Henry Hebert', ""Bryan 'Slim' Hightower"", 'Mitchell Ingraham', 'Philip Morris', 'Francis Sayles', 'George W. Jimenez', 'Ellen Lowe', 'James T. Mack', 'Mickey Martin', 'Bruce Sidney', 'Major McBride', 'Frank McLure', 'Charles Meakin', 'Edward Peil Jr.', 'Irving Mitchell', 'Frances E. Neal', 'Lillian Nicholson', 'Joseph North', ""William H. O'Brien"", 'Field Norton', 'Dick Scott', ""Frank O'Connor"", 'Russ Powell', 'Bert Stevens', 'Thomas Pogue', ""Lillian O'Malley"", 'Jack Raymond', 'Gohr Van Vleck', 'Myrtle Rishell', 'Benny Rubin', 'Shimen Ruskin', 'George Sherwood', 'Edward Ryan', 'Landers Stevens', 'Harry J. Vejar', 'Tudor Williams', 'Arthur Yeoman', 'Tim Davis', 'Charles Bennett', 'Arthur Kay', 'John Alban']";['Orson Welles', 'Herman J. Mankiewicz'];['Robert Wise'];['Gregg Toland'];Newspaper magnate, Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.
426;Vertigo;27.246;8.204;1958;128;United States of America;English;2479000;7797728;['Mystery', 'Romance', 'Thriller'];['Alfred Hitchcock'];['James Stewart', 'Kim Novak', 'Barbara Bel Geddes', 'Tom Helmore', 'Henry Jones', 'Raymond Bailey', 'Ellen Corby', 'Konstantin Shayne', 'Lee Patrick', 'Bess Flowers', 'Alfred Hitchcock', 'David Ahdar', 'Sara Taft'];['Alec Coppel', 'Samuel A. Taylor'];['George Tomasini'];['Robert Burks'];A retired San Francisco detective suffering from acrophobia investigates the strange activities of an old friend's wife, all the while becoming dangerously obsessed with her.
776;The Rules of the Game;10.125;7.632;1939;106;France;Français;8847685;0;['Drama', 'Comedy', 'Romance'];['Jean Renoir'];['Marcel Dalio', 'Nora Gregor', 'Paulette Dubost', 'Mila Parély', 'Odette Talazac', 'Claire Gérard', 'Anne Mayen', 'Lise Elina', 'Julien Carette', 'Roland Toutain', 'Gaston Modot', 'Jean Renoir', 'Pierre Magnier', 'Eddy Debray', 'Pierre Nay', 'Richard Francoeur', 'Léon Larive', 'Nicolas Amato', 'Henri Cartier-Bresson', 'Celestin', 'Tony Corteggiani', 'Geo Forster', 'Roger Forster', 'Camille François', 'Jenny Hélia', 'André Zwoboda', 'Jacques Beauvais', 'Maurice Marceau', 'Marguerite de Morlaye', 'Marcel Melrac', 'Antoine Corteggiani'];['Jean Renoir'];['Marthe Huguet', 'Marguerite Renoir'];['Jean Bachelet', 'Jacques Lemare', 'Jean-Paul Alphen', 'Alain Renoir'];A weekend at a marquis’ country château lays bare some ugly truths about a group of haut bourgeois acquaintances.
18148;Tokyo Story;11.172;8.257;1953;137;Japan;English;0;0;['Drama'];['Yasujirō Ozu'];['Chishū Ryū', 'Chieko Higashiyama', 'Setsuko Hara', 'Haruko Sugimura', 'Sō Yamamura', 'Kuniko Miyake', 'Kyōko Kagawa', 'Eijirō Tōno', 'Nobuo Nakamura', 'Shirō Ōsaka', 'Hisao Toake', 'Teruko Nagaoka', 'Mutsuko Sakura', 'Toyo Takahashi', 'Tōru Abe', 'Sachiko Mitani', 'Ryōko Mizuki', 'Keijirô Morozumi', 'Shozo Suzuki', 'Haruko Chichibu', 'Takashi Miki', 'Toshinosuke Nagao', 'Zen Murase', 'Mitsuhiro Môri', 'Yoshiko Togawa', 'Fumio Tooyama'];['Yasujirō Ozu', 'Kōgo Noda'];['Yoshiyasu Hamamura'];['Yûharu Atsuta'];The elderly Shukishi and his wife, Tomi, take the long journey from their small seaside village to visit their adult children in Tokyo. Their elder son, Koichi, a doctor, and their daughter, Shige, a hairdresser, don't have much time to spend with their aged parents, and so it falls to Noriko, the widow of their younger son who was killed in the war, to keep her in-laws company.
62;2001: A Space Odyssey;39.611;8.079;1968;149;United Kingdom;English;12000000;71923560;['Science Fiction', 'Mystery', 'Adventure'];['Stanley Kubrick'];"['Keir Dullea', 'Gary Lockwood', 'William Sylvester', 'Douglas Rain', 'Daniel Richter', 'Leonard Rossiter', 'Margaret Tyzack', 'Robert Beatty', 'Sean Sullivan', 'Frank Miller', 'Ed Bishop', 'Edwina Carroll', 'Heather Downham', 'Penny Brahms', ""Maggie d'Abo"", 'Chela Matthison', 'Judy Kiern', 'Alan Gifford', 'Ann Gillis', 'Vivian Kubrick', 'Kenneth Kendall', 'Kevin Scott', 'Martin Amor', 'Bill Weston', 'Glenn Beck', 'Mike Lovell', 'John Ashley', 'Jimmy Bell', 'David Charkham', 'Simon Davis', 'Jonathan Daw', 'Péter Delmár', 'Terry Duggan', 'David Fleetwood', 'Danny Grover', 'Brian Hawley', 'David Hines', 'Tony Jackson', 'John Jordan', 'Scott MacKee', 'Laurence Marchant', 'Darryl Paes', 'Joe Refalo', 'Andy Wallace', 'Bob Wilyman', 'Richard Woods', 'S. Newton Anderson', 'Sheraton Blount', 'Ann Bormann', 'Julie Croft', 'Penny Francis', 'Marcella Markham', 'Irena Marr', 'Krystyna Marr', 'Kim Neil', 'Jane Pearl', 'Penny Pearl', 'Burnell Tucker', 'John Swindells', 'John Clifford']";['Stanley Kubrick', 'Arthur C. Clarke'];['Ray Lovejoy'];['Geoffrey Unsworth'];Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.
643;Battleship Potemkin;16.778;7.634;1925;75;Soviet Union;No Language;0;45100;['Drama', 'History'];['Sergei Eisenstein'];['Aleksandr Antonov', 'Vladimir Barsky', 'Grigori Aleksandrov', 'Ivan Bobrov', 'Mikhail Gomorov', 'Aleksandr Levshin', 'N. Poltavtseva', 'Konstantin Feldman', 'Prokhorenko', 'A. Glauberman', 'Beatrice Vitoldi', 'Danylo Antonovych', 'Iona Biy-Brodskiy', 'Julia Eisenstein', 'Sergei Eisenstein', 'Andrey Fayt', 'Yuriy Korobeynikov (I)', 'Marusov', 'Protopopov', 'Repnikova', 'Vladimir Uralsky', 'Zerenin', 'Aleksanteri Ahola-Valo'];[];['Sergei Eisenstein', 'Grigori Aleksandrov'];['Eduard Tisse'];A dramatized account of a great Russian naval mutiny and a resultant public demonstration, showing support, which brought on a police massacre. The film had an incredible impact on the development of cinema and is a masterful example of montage editing.
631;Sunrise: A Song of Two Humans;9.884;7.884;1927;94;United States of America;No Language;0;0;['Drama', 'Romance'];['F. W. Murnau'];['George O’Brien', 'Janet Gaynor', 'Margaret Livingston', 'Bodil Rosing', 'J. Farrell MacDonald', 'Ralph Sipperly', 'Jane Winton', 'Arthur Housman', 'Eddie Boland', 'Herman Bing', 'Sidney Bracey', 'Gino Corrado', 'Vondell Darr', 'Sally Eilers', 'Gibson Gowland', 'Thomas Jefferson', 'Bob Kortman', 'F. W. Murnau', 'Barry Norton', 'Robert Parrish', 'Sally Phipps', 'Harry Semels', 'Phillips Smalley', 'Leo White', 'Clarence Wilson'];['Carl Mayer'];['Harold D. Schuster'];['Charles Rosher', 'Karl Struss'];A married farmer falls under the spell of a slatternly woman from the city, who tries to convince him to drown his wife.
422;8½;14.275;8.221;1963;139;Italy;Deutsch;0;0;['Fantasy', 'Drama'];['Federico Fellini'];['Marcello Mastroianni', 'Claudia Cardinale', 'Anouk Aimée', 'Sandra Milo', 'Rossella Falk', 'Barbara Steele', 'Madeleine Lebeau', 'Caterina Boratto', 'Eddra Gale', 'Guido Alberti', 'Mario Conocchia', 'Bruno Agostini', 'Cesarino Miceli Picardi', 'Jean Rougeul', 'Mario Pisu', 'Yvonne Casadei', 'Ian Dallas', 'Mino Doro', 'Nadia Sanders', 'Georgia Simmons', 'Edy Vessel', 'Tito Masini', 'Annie Gorassini', 'Rossella Como', 'Mark Herron', 'Marisa Colomber', 'Neil Robinson', 'Elisabetta Catalano', 'Eugene Walter', 'Hazel Rogers', 'Gilda Dahlberg', 'Mario Tarchetti', 'Mary Indovino', 'Frazier Rippy', 'Francesco Rigamonti', 'Giulio Paradisi', 'Marco Gemini', 'Giuditta Rissone', 'Annibale Ninchi', 'Dina De Santis', 'Eva Gioia', 'Maria Tedeschi', 'Antonio Acqua', 'Giulio Calì', 'Franco Caracciolo', 'Olimpia Cavalli', 'Sonia Gessner', 'Mathilda Calnan'];['Federico Fellini', 'Tullio Pinelli', 'Ennio Flaiano', 'Brunello Rondi'];['Leo Catozzo'];['Gianni Di Venanzo'];Guido Anselmi, a film director, finds himself creatively barren at the peak of his career. Urged by his doctors to rest, Anselmi heads for a luxurious resort, but a sorry group gathers—his producer, staff, actors, wife, mistress, and relatives—each one begging him to get on with the show. In retreat from their dependency, he fantasizes about past women and dreams of his childhood.
872;Singin' in the Rain;20.46;8.167;1952;103;United States of America;English;2540800;7200000;['Comedy', 'Music', 'Romance', 'Drama'];['Stanley Donen', 'Gene Kelly'];"['Gene Kelly', ""Donald O'Connor"", 'Debbie Reynolds', 'Jean Hagen', 'Millard Mitchell', 'Cyd Charisse', 'Douglas Fowley', 'Rita Moreno', 'Mae Clarke', 'Bess Flowers', 'Robert Foulk', 'Kathleen Freeman', 'Joi Lansing', 'Sylvia Lewis', ""Harry 'Snub' Pollard"", 'William Schallert', 'Elaine Stewart', 'Brick Sullivan', 'John George', 'King Donovan', 'Lana Turner', 'Allen Sutherland', 'Dawn Addams', 'John Albright', 'Betty Van Allen', 'Sue Allen', 'Marie Ardell', 'Bette Arlen', 'David Bair', 'Jimmy Bates', 'Mary Bayless', 'Marcella Becker', 'Margaret Bert', 'Madge Blake', 'Lulu Mae Bohrman', 'Gail Bonney', 'Chet Brandenburg', 'Tex Brodus', 'Barbara Carroll', 'Gwen Carter', 'Bill Chatham', 'Lyle Clark', 'Dorinda Clifton', 'Harry Cody', 'Chick Collins', 'Pat Conway', 'Jeanne Coyne', 'Ruby C. Currie', 'Fred Datig Jr.', 'Bert Davidson', 'Robert Dayo', 'Gloria Dea', 'Patricia Denise', 'Harry Denny', 'Kay Deslys', 'John Dodsworth', 'Michael Dugan', 'Phil Dunham', 'Helen Eby-Rock', 'Richard Emory', 'Betty Erbes', 'Charles Evans', 'Tommy Farrell', 'Ernie Flatt', 'George Ford', 'Robert Fortier', 'Dan Foster', 'Clair Freeman', 'Lance Fuller', 'Doris Fulton', 'Jeanne Gail', 'Glen Gallagher', 'Jon Gardner', 'Diane Garrett', 'Jack George', 'Kenneth Gibson', 'Mickey Golden', 'Inez Gorman', 'A. Cameron Grant', 'Beatrice Gray', 'Marion Gray', 'Robert Haines', 'William Hamel', 'Betty Hannon', 'Sam Harris', 'Jean Harrison', 'Timmy Hawkins', 'Jack Hendricks', 'Lars Hensen', 'Jean Heremans', 'Stuart Holmes', 'Don Hulbert', 'Frank Hyers', 'Patricia Jackson', 'Ivor James', 'Morgan Jones', 'David Kasday', 'Jan Kayne', 'Jimmy Kelly', 'Kenner G. Kemp', 'Mike Lally', 'Judy Landon', 'Joi Lansing', 'Janet Lavis', 'Virginia Lee', 'Meredith Leeds', 'William F. Leicester', 'Peggy Leon', 'Diki Lerner', 'Bill Lewin', 'King Lockwood', 'Leon Lontoc', 'Leota Lorraine', 'Paul Maxey', 'Dorothy McCarty', 'Ann McCrea', 'Philo McCullough', 'Ray McDonald', 'Johnny McGovern', 'Joseph Mell', 'Carl Milletaire', 'Gloria Moore', 'Forbes Murray', 'Peggy Murray', 'Anne Neyland', 'Ruth Packard', 'Dorothy Patrick', 'Allen Pinson', 'Angi O. Poulos', 'George Reeder', 'Charles Regan', 'Shirley Jean Rickert', 'Joanne Rio', 'Tony Rocket', 'Victor Romito', 'Dennis Ross', 'Paul Salata', 'Cosmo Sardo', 'Phil Schumacher', 'Betty Scott', 'David Sharpe', 'Julius Tannen', 'Harry Tenbrook', 'Beverly Thomas', 'Beverly Thompson', 'Jimmy Thompson', 'Dee Turnell', 'Dorothy Tuttle', 'Tyra Vaughn', 'Pat Walker', 'Tommy Walker', 'Bobby Watson', 'Chalky Williams', 'Robert B. Williams', 'Wilson Wood', 'Adam York', 'Norma Zimmer']";['Adolph Green', 'Betty Comden'];['Adrienne Fazan'];['Harold Rosson'];In 1927 Hollywood, a silent film production company and cast make a difficult transition to sound.
238;The Godfather;101.202;8.715;1972;175;United States of America;English;6000000;245066411;['Drama', 'Crime'];['Francis Ford Coppola'];['Marlon Brando', 'Al Pacino', 'James Caan', 'Robert Duvall', 'Richard S. Castellano', 'Diane Keaton', 'Talia Shire', 'Gianni Russo', 'Sterling Hayden', 'Al Lettieri', 'Abe Vigoda', 'John Cazale', 'Richard Conte', 'John Marley', 'Rudy Bond', 'Al Martino', 'Morgana King', 'Lenny Montana', 'John Martino', 'Alex Rocco', 'Salvatore Corsitto', 'Tony Giorgio', 'Victor Rendina', 'Simonetta Stefanelli', 'Saro Urzì', 'Sofia Coppola', 'Louis Guss', 'Richard Bright', 'Vito Scotti', 'Tere Livrano', 'Julie Gregg', 'Angelo Infanti', 'Corrado Gaipa', 'Franco Citti', 'Gabriele Torrei', 'Tony King', 'Max Brandt', 'Carmine Coppola', 'Roman Coppola', 'Don Costello', 'Robert Dahdah', 'Gray Frederickson', 'Ron Gilbert', 'Sonny Grosso', 'Joe Lo Grippo', 'Randy Jurgensen', 'Tony Lip', 'Lou Martini Jr.', 'Raymond Martino', 'Joseph Medaglia', 'Rick Petrucelli', 'Sal Richards', 'Tom Rosqui', 'Frank Sivero', 'Filomena Spagnuolo', 'Nick Vallelonga', 'Joe Spinell', 'Conrad Yama'];['Francis Ford Coppola', 'Mario Puzo'];['William Reynolds', 'Peter Zinner'];['Gordon Willis'];Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.
